"Baxter| AR",3,72,1,66,613,74,38,20631,571,617,3697,1298,38465,7278,18.9,10159,1444,1530,1860,1916,751,36186,687,240,4194,33434,929
"Benton| AR",15,211,5,157,3457,608,121,93961,3273,5512,24513,5639,154791,41170,26.6,82040,9169,10654,11256,4293,1901,48651,4079,1839,15201,135738,3205
"Boone| AR",2,49,0,41,523,60,17,20864,1474,1867,3434,1100,34051,8126,23.9,11519,1893,2013,2152,2025,653,38725,574,181,4929,28417,1066
"Bradley| AR",9,16,0,6,251,152,6,5415,313,0,642,252,12603,2966,23.5,3741,866,830,738,1099,316,37879,126,108,3218,9019,704
"Calhoun| AR",0,9,2,7,49,27,4,3786,124,225,133,100,5717,1408,24.6,1710,271,297,373,407,103,41967,68,30,930,4693,218
"Carroll| AR",5,66,0,54,550,134,30,14520,1304,470,2552,643,25411,6077,23.9,7907,1360,1440,1488,1352,636,38177,410,209,3877,21154,789
"Chicot| AR",3,55,2,47,526,170,33,6238,814,0,818,282,14083,3863,27.4,3594,827,897,869,1225,405,38055,173,49,3834,9556,842
"Clark| AR",3,28,0,20,441,62,23,13629,474,635,2387,594,23508,5070,21.6,9676,3194,1455,1270,1686,456,38342,475,146,4076,17240,797
"Clay| AR",0,23,0,23,298,78,33,8873,988,348,1050,0,17542,4040,23,4852,920,955,1100,1375,360,37380,271,48,3041,14316,672
"Cleburne| AR",2,77,0,71,724,147,62,11952,817,726,2103,820,24113,5122,21.2,7131,1068,1132,1288,1271,446,40704,520,186,3112,20634,666
"Cleveland| AR",2,8,0,5,62,25,8,2065,307,135,174,0,8544,2230,26.1,2712,467,526,579,442,177,42315,188,62,1297,7239,286
"Columbia| AR",28,156,1,120,899,279,51,13529,475,615,2087,657,25564,6404,25.1,8955,2090,1461,1532,1865,524,40455,606,183,5165,19287,1072
"Conway| AR",3,21,3,11,287,132,32,10485,960,592,1700,400,20321,5153,25.4,6659,1145,1141,1233,1149,336,40663,463,155,3225,16753,707
"Craighead| AR",74,244,2,138,3402,668,232,52318,1201,2493,9410,2655,82518,19866,24.1,38366,8150,6255,5569,4312,1309,42526,2105,738,12246,67272,2576
"Crawford| AR",5,141,1,130,1321,278,96,23796,1039,3570,3708,963,53376,15040,28.2,20777,3070,3257,3769,2282,915,39889,1097,416,7500,45262,1661
"Crittenden| AR",134,613,8,440,2115,592,272,22086,709,2315,4723,1000,50976,15853,31.1,17665,3300,3396,3601,3243,1070,41256,1045,486,12688,37393,2820
"Cross| AR",4,81,0,75,402,84,28,8753,865,617,1331,514,19476,5414,27.8,5647,1096,1199,1203,1132,459,40654,299,122,3829,15414,908
"Dallas| AR",3,78,2,71,286,77,17,4982,146,199,713,181,9158,2395,26.2,2361,492,494,506,633,202,37453,92,30,1660,7118,325
"Desha| AR",11,112,1,95,672,204,20,7676,800,346,1177,372,15306,4414,28.8,4019,933,875,862,1388,396,37671,265,84,4380,10779,998
"Drew| AR",15,45,2,24,263,71,19,9787,470,285,1722,426,18703,4816,25.7,6624,1579,1238,1156,1255,405,42834,391,139,3307,14874,664
"Faulkner| AR",9,203,2,159,2972,407,108,45508,1304,1253,7908,2165,86456,22087,25.5,48342,9021,6614,5958,3352,1107,47177,2546,1182,10333,72016,1796
"Franklin| AR",4,29,0,22,165,39,4,7288,964,466,952,369,17747,4572,25.8,5800,970,1088,1075,998,315,38527,247,146,2663,14855,532
"Fulton| AR",0,13,1,10,150,69,7,4906,870,246,620,367,11655,2643,22.7,3202,487,540,650,682,289,33884,151,44,1871,9612,445
"Garland| AR",61,416,6,314,3915,838,177,48051,452,1336,10047,3606,88350,18791,21.3,28643,4413,4770,4977,4399,1644,41477,2213,996,12565,73599,2670
"Grant| AR",0,8,0,8,135,38,27,6346,261,268,944,343,16488,4262,25.8,5953,915,1041,1146,593,192,46384,496,141,1654,14631,374
"Greene| AR",7,53,0,43,965,190,90,19595,1011,430,3088,770,37504,9437,25.2,14549,2376,2576,2591,1994,696,38995,679,188,4889,31826,1053
"Hempstead| AR",7,100,3,79,751,293,38,12615,1016,489,1598,391,23560,6431,27.3,7324,1607,1546,1466,1495,595,38811,403,157,4713,18491,1024
"Hot Spring| AR",14,90,2,68,842,194,57,11348,516,493,1687,545,30383,7602,25,10758,1741,1794,1800,1513,574,38333,543,177,4203,25767,915
"Howard| AR",4,6,0,2,273,83,3,10932,877,434,1112,269,14252,3822,26.8,4435,821,890,938,756,338,41713,238,83,2161,11785,467
"Independence| AR",3,58,1,54,1347,266,57,21888,1347,1474,3253,827,34270,8390,24.5,12296,2059,2056,2134,1719,602,40355,639,185,4310,28950,959
